id;current_role;other_role_specified;current_salary;low_range;high_range;salary_average
62a38985f8f756164585b89c;Data Architect;NA;20000;,00;40,00;20,00
62a389b70f8c8599d5afad1a;Data Analyst;NA;20000;,00;40,00;20,00
62a389ed18134ddc75cf24f8;Data Scientist;NA;20000;,00;40,00;20,00
62a38a060a77c1a77f6654b7;Other;Financial Analyst;20000;,00;40,00;20,00
62a38a4d575fa3a5ae8944df;Data Analyst;NA;53000;41,00;65,00;53,00
62a38a97cf25554317309af2;Data Analyst;NA;53000;41,00;65,00;53,00
62a38c120f8c8599d5afb0e9;Other;Database Manager;53000;41,00;65,00;53,00
62a38c9dbc6861bf317760c4;Data Analyst;NA;75500;66,00;85,00;75,50
62a38de50f8c8599d5afb3e7;Other;Software Developer ;20000;,00;40,00;20,00
62a3906224a262602738c58a;Data Scientist;NA;137500;125,00;150,00;137,50
62a3907cbae91e4b8b838917;Student/Looking/None;NA;20000;,00;40,00;20,00
62a390c0d8c00e9f541a6fd7;Student/Looking/None;NA;75500;66,00;85,00;75,50
62a390e4f3072dd89262c0cd;Data Analyst;NA;53000;41,00;65,00;53,00
62a391cacf2555431730a623;Data Analyst;NA;95500;86,00;105,00;95,50
62a39214f8f756164585c6b6;Other;Tableau admin;53000;41,00;65,00;53,00
62a39297b4da29969c638679;Data Engineer;NA;95500;86,00;105,00;95,50
62a393330a77c1a77f6662e4;Data Analyst;NA;20000;,00;40,00;20,00
62a3944024a262602738cb07;Data Analyst;NA;20000;,00;40,00;20,00
62a3951ed8c00e9f541a75d1;Other;Other (Please Specify);115500;106,00;125,00;115,50
62a3958fcec54911e9caf827;Other;Reporting Adm;20000;,00;40,00;20,00
62a3970ebae91e4b8b839495;Student/Looking/None;NA;75500;66,00;85,00;75,50
62a3976ecf2555431730af5e;Other;Billing analyst;75500;66,00;85,00;75,50
62a397fb5d257a28a30e279a;Data Engineer;NA;20000;,00;40,00;20,00
62a3980c7dc029e2d66c9a81;Data Analyst;NA;53000;41,00;65,00;53,00
62a3980e0f8c8599d5afc32c;Data Analyst;NA;115500;106,00;125,00;115,50
62a39a340f8c8599d5afc6ce;Data Scientist;NA;20000;,00;40,00;20,00
62a39a95bc6861bf3177751d;Other;I work with data tools and can create simple dashboards but I am not a data scientist;53000;41,00;65,00;53,00
62a39b315d257a28a30e2cae;Data Analyst;NA;75500;66,00;85,00;75,50
62a39b6cf408bae018ede929;Data Analyst;NA;20000;,00;40,00;20,00
62a39bd324a262602738d725;Data Analyst;NA;20000;,00;40,00;20,00
62a39e03f408bae018eded39;Data Analyst;NA;20000;,00;40,00;20,00
62a39e69d8c00e9f541a8358;Other;Marketing Data Specialist;53000;41,00;65,00;53,00
62a3a0bcf8f756164585daf7;Data Analyst;NA;53000;41,00;65,00;53,00
62a3a1a62e54c9003e53dc35;Data Analyst;NA;20000;,00;40,00;20,00
62a3a231b4da29969c639b2c;Data Analyst;NA;95500;86,00;105,00;95,50
62a3a3800f8c8599d5afd4db;Data Analyst;NA;75500;66,00;85,00;75,50
62a3a4fdbae91e4b8b83ab6f;Data Analyst;NA;53000;41,00;65,00;53,00
62a3a7f50a77c1a77f668221;Student/Looking/None;NA;20000;,00;40,00;20,00
62a3a90f24a262602738e800;Data Analyst;NA;53000;41,00;65,00;53,00
62a3a9dbd8c00e9f541a93eb;Data Analyst;NA;20000;,00;40,00;20,00
62a3aaa3cec54911e9cb1724;Other;Analytics Engineer;53000;41,00;65,00;53,00
62a3ab320f8c8599d5afdfa8;Data Analyst;NA;20000;,00;40,00;20,00
62a3abacd8c00e9f541a96eb;Student/Looking/None;NA;20000;,00;40,00;20,00
62a3ac4bf8f756164585ea83;Data Analyst;NA;20000;,00;40,00;20,00
62a3ad35cec54911e9cb1b5c;Other;Jr. Data Scientist;95500;86,00;105,00;95,50
62a3ae69bc6861bf3177900d;Other;Continuous Quality Improvement Specialist;53000;41,00;65,00;53,00
62a3af26cec54911e9cb1f3a;Data Analyst;NA;75500;66,00;85,00;75,50
62a3af66f8f756164585eeb8;Student/Looking/None;NA;20000;,00;40,00;20,00
62a3b135b4da29969c63b1ed;Data Analyst;NA;53000;41,00;65,00;53,00
62a3b255d8c00e9f541a9fd5;Data Analyst;NA;95500;86,00;105,00;95,50
62a3b314f408bae018ee0938;Data Analyst;NA;115500;106,00;125,00;115,50
62a3b3f6bc6861bf3177973b;Data Analyst;NA;75500;66,00;85,00;75,50
62a3ba4dbc6861bf31779f24;Data Analyst;NA;53000;41,00;65,00;53,00
62a3baa624a262602738ff27;Data Analyst;NA;20000;,00;40,00;20,00
62a3bc00d8c00e9f541aad66;Data Analyst;NA;75500;66,00;85,00;75,50
62a3bf1b0a77c1a77f66a347;Data Engineer;NA;137500;125,00;150,00;137,50
62a3c021f8f756164586043f;Other;Other (Please Specify);20000;,00;40,00;20,00
62a3c1b1bc6861bf3177aa8c;Data Analyst;NA;75500;66,00;85,00;75,50
62a3c30324a26260273909b9;Data Analyst;NA;95500;86,00;105,00;95,50
62a3c476bc6861bf3177ad9d;Data Analyst;NA;53000;41,00;65,00;53,00
62a3c5f2cec54911e9cb3d9b;Student/Looking/None;NA;20000;,00;40,00;20,00
62a3c7f1bc6861bf3177b06e;Other;PMO;53000;41,00;65,00;53,00
62a3c8652e54c9003e54103e;Data Analyst;NA;20000;,00;40,00;20,00
62a3ca44bae91e4b8b83dcd4;Student/Looking/None;NA;53000;41,00;65,00;53,00
62a3cafff8d5efcc22f8b5cb;Student/Looking/None;NA;20000;,00;40,00;20,00
62a3cbfef8d5efcc22f8b6f1;Data Analyst;NA;20000;,00;40,00;20,00
62a3cde8f8f7561645861366;Other;System Administrator;20000;,00;40,00;20,00
62a3cfed0f8c8599d5b00b12;Data Analyst;NA;20000;,00;40,00;20,00
62a3d21ef3072dd8926314d1;Data Analyst;NA;20000;,00;40,00;20,00
62a3d37c0a77c1a77f66bc0e;Data Analyst;NA;53000;41,00;65,00;53,00
62a3d8dbf8f7561645861f9d;Data Analyst;NA;115500;106,00;125,00;115,50
62a3d9697dc029e2d66cf087;Data Analyst;NA;53000;41,00;65,00;53,00
62a3dac9f3072dd892631e12;Data Scientist;NA;187500;150,00;225,00;187,50
62a3dc3ab4da29969c63e3d7;Data Analyst;NA;75500;66,00;85,00;75,50
62a3e2abf8f75616458628d1;Data Analyst;NA;53000;41,00;65,00;53,00
62a3e32bd8c00e9f541ad5f0;Other;Teacher;53000;41,00;65,00;53,00
62a3ecf7bc6861bf3177d5c2;Data Analyst;NA;75500;66,00;85,00;75,50
62a3eea9bae91e4b8b8401a4;Student/Looking/None;NA;20000;,00;40,00;20,00
62a3f39df8d5efcc22f8ddc2;Data Analyst;NA;95500;86,00;105,00;95,50
62a3f6a25d257a28a30e9d02;Data Analyst;NA;20000;,00;40,00;20,00
62a3f6d9bae91e4b8b8408ca;Student/Looking/None;NA;20000;,00;40,00;20,00
62a3fc7c7dc029e2d66d10e8;Data Analyst;NA;115500;106,00;125,00;115,50
